"event_type","user_id","episode_id","timestamp","duration"
"pause","user_5","ep_39","2024-04-09T10:30:41",
"play","user_50","ep_5","2024-04-21T09:13:28",3418
"play","user_64","ep_13","2024-01-06T09:48:37",4361
"seek","user_60","ep_34","2024-01-12T03:45:30",
"seek","user_67","ep_5","2024-03-22T14:17:10",
"complete","user_73","ep_42","2024-02-25T18:50:02",4050
"pause","user_5","ep_14","2024-01-10T14:41:47",
"play","user_42","ep_3","2024-04-28T08:58:33",3578
"pause","user_37","ep_21","2024-01-28T18:46:06",
"seek","user_60","ep_15","2024-03-06T15:49:24",
"pause","user_64","ep_19","2024-01-18T17:19:03",
"play","user_59","ep_23","2024-03-11T22:22:38",4276
"seek","user_7","ep_49","2024-01-13T21:35:02",
"play","user_27","ep_12","2024-02-23T04:35:34",1161
"play","user_12","ep_7","2024-01-19T07:58:34",1655
"play","user_15","ep_6","2024-01-18T01:29:57",1700
"pause","user_44","ep_6","2024-03-27T00:20:50",
"complete","user_30","ep_4","2024-03-11T02:21:07",2055
"pause","user_1","ep_39","2024-04-24T23:19:52",
"seek","user_72","ep_41","2024-01-17T15:10:39",
"seek","user_89","ep_23","2024-03-05T00:06:19",
"play","user_24","ep_29","2024-04-20T03:48:32",4384
"play","user_93","ep_50","2024-03-02T10:18:52",4538
"pause","user_34","ep_49","2024-04-26T22:46:10",
"pause","user_13","ep_46","2024-03-18T03:41:30",
"play","user_33","ep_17","2024-02-22T03:22:39",4265
"play","user_16","ep_22","2024-02-06T23:13:42",5399
"pause",,"ep_40","2024-01-13T16:03:15",
"seek","user_24","ep_9","2024-02-19T00:00:45",
"pause","user_54","ep_6","2024-01-23T19:31:11",
"pause","user_50","ep_5","2024-04-21T00:52:03",
"complete","user_7","ep_35","2024-04-01T06:50:40",2561
"seek","user_86","ep_19","2024-04-22T07:16:49",
"complete","user_9","ep_10","2024-01-22T01:43:25",523
"pause","user_92","ep_28","2024-04-01T19:28:17",
"play","user_28","ep_3","2024-04-30T19:28:34",265
"play","user_83","ep_46","2024-01-07T14:59:33",3880
"seek","user_83","ep_28","2024-03-25T03:47:02",
"pause","user_83","ep_46","2024-03-25T21:15:10",
"complete","user_37","ep_12","2024-03-09T19:15:55",4513
"play","user_78","ep_34","2024-04-07T21:43:45",4930
"pause","user_71","ep_24","2024-02-07T16:56:40",
"seek","user_98","ep_38","2024-03-24T12:19:44",
"play","user_75","ep_24","2024-04-06T15:20:30",867
"play","user_50","ep_33","2024-03-27T03:37:12",4008
"pause","user_68","ep_21","2024-04-30T22:01:02",
"complete","user_98","ep_18","2024-02-13T17:30:31",846
"play","user_92","ep_24","2024-04-29T01:28:31",5326
"complete","user_23","ep_16","2024-03-06T23:48:44",3990
"play","user_36","ep_44","2024-03-05T23:14:44",557
"complete","user_7","ep_27","2024-03-30T03:12:47",3642
"play","user_46","ep_50","2024-01-31T19:57:39",4614
"seek","user_5","ep_42","2024-02-27T07:22:00",
"complete","user_2","ep_42","2024-04-28T04:33:08",2930
"play","user_7","ep_9","2024-03-07T00:21:57",4232
"complete","user_25","ep_15","2024-02-12T15:05:55",968
"seek","user_49","ep_17","2024-01-12T04:24:26",
"pause","user_9","ep_42","2024-03-24T16:19:45",
"complete","user_92","ep_4","2024-01-13T10:53:26",3226
"seek","user_9","ep_12","2024-01-16T00:58:54",
"seek","user_27","ep_21","2024-03-30T10:27:05",
"complete","user_69","ep_3","2024-03-19T17:08:42",1713
"complete","user_40","ep_11","2024-01-26T16:52:38",2720
"complete","user_35","ep_19","2024-01-11T23:42:47",3827
"seek","user_73","ep_9","2024-01-30T02:05:18",
"complete","user_57","ep_18","2024-03-18T08:33:30",1443
"pause","user_54","ep_6","2024-03-15T14:02:18",
"seek","user_81","ep_11","2024-02-14T21:24:18",
"seek","user_21","ep_40","2024-01-30T22:19:40",
"seek","user_77","ep_20","2024-04-28T06:59:00",
"play","user_99","ep_43","2024-04-12T05:52:18",833
"seek","user_23","ep_28","2024-01-23T03:26:26",
"play","user_31","ep_27","2024-04-24T05:40:17",2523
"pause","user_95","ep_2","2024-03-19T17:44:56",
"complete","user_21","ep_10","2024-01-25T08:19:52",3622
